# Global_Ring Global_Wedge Theta_Mean Theta_Sigma Phi_Mean Phi_Sigma
71 31 139.744 1.04274 191.881 2.2297
72 24 136.143 1.06359 132.119 2.22957
72 25 135.948 1.06968 140.286 2.3448
72 26 135.839 1.07525 148.811 2.43169
72 27 135.798 1.07211 157.575 2.47872
72 28 135.795 1.07232 166.425 2.47866
72 29 135.838 1.07602 175.19 2.43138
72 30 135.95 1.07145 183.714 2.34467
72 31 136.143 1.06488 191.879 2.2305
73 24 132.606 1.08468 132.12 2.23042
73 25 132.284 1.08043 140.286 2.34477
73 26 132.087 1.07449 148.811 2.43174
73 27 132.007 1.06303 157.576 2.4789
73 28 132.006 1.06271 166.426 2.47796
73 29 132.096 1.0759 175.189 2.43169
73 30 132.288 1.07976 183.714 2.34429
73 31 132.603 1.08189 191.88 2.22935
74 24 129.161 1.08881 132.12 2.23075
74 25 128.707 1.08402 140.286 2.34449
74 26 128.416 1.06888 148.811 2.43131
74 27 128.288 1.04615 157.575 2.47864
74 28 128.289 1.04504 166.424 2.47859
74 29 128.419 1.07134 175.188 2.43105
74 30 128.705 1.0844 183.714 2.34477
74 31 129.149 1.09414 191.88 2.23073
75 24 125.794 1.0937 132.12 2.23069
75 25 125.227 1.08278 140.286 2.34439
75 26 124.857 1.06012 148.811 2.43153
75 27 124.665 1.02057 157.575 2.47884
75 28 124.668 1.02281 166.425 2.4789
75 29 124.846 1.05751 175.189 2.43085
75 30 125.235 1.08791 183.713 2.34442
75 31 125.817 1.1017 191.879 2.23056
76 24 122.592 1.1089 132.12 2.2305
76 25 121.883 1.07219 140.287 2.34439
76 26 121.407 1.03807 148.811 2.43133
76 27 121.166 0.991224 157.576 2.47894
76 28 121.169 0.991794 166.424 2.47892
76 29 121.407 1.04158 175.189 2.43151
76 30 121.871 1.08105 183.714 2.34477
76 31 122.593 1.10256 191.879 2.23009
77 24 119.483 1.10213 132.121 2.23053
77 25 118.655 1.07141 140.286 2.34433
77 26 118.095 1.02182 148.812 2.4311
77 27 117.808 0.954218 157.576 2.47887
77 28 117.808 0.955263 166.424 2.47825
77 29 118.088 1.02167 175.189 2.43132
77 30 118.649 1.06697 183.714 2.34486
77 31 119.499 1.10763 191.88 2.2302
78 24 116.56 1.09476 132.121 2.23054
78 25 115.599 1.05843 140.286 2.34457
78 26 114.94 0.997411 148.811 2.43167
78 27 114.609 0.915542 157.576 2.47858
78 28 114.608 0.918446 166.425 2.47885
78 29 114.945 0.994479 175.189 2.43135
78 30 115.599 1.05776 183.713 2.34454
78 31 116.56 1.09787 191.88 2.2306
79 24 113.768 1.10177 132.121 2.22913
79 25 112.699 1.0427 140.286 2.34449
79 26 111.946 0.972148 148.811 2.43165
79 27 111.559 0.875824 157.576 2.47888
79 28 111.563 0.877683 166.426 2.4783
79 29 111.95 0.966415 175.189 2.43157
79 30 112.691 1.0422 183.714 2.34469
79 31 113.778 1.09863 191.879 2.23061
