# Global_Ring Global_Wedge Theta_Mean Theta_Sigma Phi_Mean Phi_Sigma
64 24 164.342 0.951349 132.121 2.22833
64 25 164.567 0.937185 140.289 2.342
64 26 164.746 0.919779 148.811 2.4305
64 27 164.841 0.89402 157.573 2.47753
64 28 164.833 0.895172 166.428 2.47693
64 29 164.74 0.915861 175.189 2.4315
64 30 164.572 0.943941 183.714 2.3447
64 31 164.343 0.952408 191.88 2.2301
65 24 161.078 0.99336 132.119 2.2296
65 25 161.31 0.989704 140.288 2.3429
65 26 161.489 0.961883 148.812 2.43091
65 27 161.589 0.941079 157.575 2.47843
65 28 161.59 0.940909 166.425 2.4786
65 29 161.486 0.965814 175.189 2.43126
65 30 161.318 0.981974 183.713 2.34444
65 31 161.078 0.999873 191.879 2.23034
66 24 157.698 1.02188 132.12 2.23057
66 25 157.917 1.01754 140.287 2.34443
66 26 158.092 1.00274 148.811 2.43159
66 27 158.194 0.980882 157.576 2.47864
66 28 158.188 0.980163 166.425 2.47797
66 29 158.091 1.00568 175.189 2.43174
66 30 157.925 1.0184 183.713 2.34371
66 31 157.7 1.01635 191.88 2.23028
67 24 154.226 1.0411 132.12 2.23037
67 25 154.416 1.043 140.286 2.34466
67 26 154.57 1.03508 148.812 2.43149
67 27 154.659 1.01625 157.573 2.47733
67 28 154.657 1.01688 166.425 2.47862
67 29 154.572 1.03754 175.189 2.43123
67 30 154.419 1.04631 183.715 2.34423
67 31 154.225 1.03196 191.879 2.23066
68 24 150.67 1.04131 132.121 2.23044
68 25 150.813 1.05778 140.285 2.34424
68 26 150.939 1.0554 148.811 2.43155
68 27 151.009 1.04448 157.576 2.47894
68 28 151.008 1.04395 166.424 2.47898
68 29 150.926 1.05439 175.19 2.43138
68 30 150.81 1.05473 183.714 2.3441
68 31 150.667 1.04252 191.88 2.23046
69 24 147.059 1.03381 132.121 2.23041
69 25 147.139 1.06089 140.285 2.34375
69 26 147.22 1.06851 148.812 2.43063
69 27 147.27 1.06104 157.576 2.47878
69 28 147.268 1.06305 166.424 2.47882
69 29 147.22 1.06709 175.188 2.43111
69 30 147.135 1.05786 183.716 2.34334
69 31 147.058 1.03341 191.879 2.23033
70 24 143.393 1.02769 132.12 2.23038
70 25 143.418 1.05281 140.286 2.34434
70 26 143.443 1.06725 148.811 2.43146
70 27 143.466 1.07291 157.576 2.47879
70 28 143.466 1.07287 166.426 2.47779
70 29 143.446 1.06826 175.189 2.43082
70 30 143.417 1.05207 183.714 2.34472
70 31 143.395 1.03068 191.88 2.23042
71 24 139.745 1.04697 132.12 2.23013
71 25 139.658 1.05651 140.287 2.34404
71 26 139.633 1.06853 148.811 2.43055
71 27 139.629 1.07497 157.575 2.47892
71 28 139.629 1.07493 166.424 2.47896
71 29 139.632 1.06841 175.189 2.43159
71 30 139.657 1.0557 183.713 2.34425
