# Global_Ring Global_Wedge Theta_Mean Theta_Sigma Phi_Mean Phi_Sigma
48 0 164.348 0.958899 60.1213 2.22982
48 1 164.563 0.941949 68.285 2.34223
48 2 164.74 0.91726 76.8111 2.43115
48 3 164.835 0.896801 85.5756 2.4789
48 4 164.834 0.893902 94.4248 2.47844
48 5 164.741 0.917059 103.189 2.43149
48 6 164.571 0.941376 111.715 2.34408
48 7 164.341 0.959667 119.88 2.23002
49 0 161.082 0.988192 60.1202 2.22982
49 1 161.313 0.983529 68.2868 2.34357
49 2 161.485 0.964881 76.8115 2.43108
49 3 161.589 0.940322 85.5744 2.47805
49 4 161.586 0.940333 94.4233 2.4781
49 5 161.489 0.959653 103.187 2.43069
49 6 161.318 0.982407 111.715 2.34387
49 7 161.085 0.992569 119.88 2.23
50 0 157.704 1.02195 60.1208 2.23002
50 1 157.913 1.01815 68.2871 2.34435
50 2 158.097 0.998863 76.8096 2.43071
50 3 158.188 0.983273 85.5761 2.47873
50 4 158.193 0.982195 94.4243 2.47876
50 5 158.093 1.00502 103.188 2.43125
50 6 157.92 1.01875 111.716 2.34366
50 7 157.704 1.01902 119.879 2.23059
51 0 154.217 1.03834 60.1199 2.23015
51 1 154.412 1.04645 68.2862 2.34463
51 2 154.567 1.03534 76.8115 2.43054
51 3 154.657 1.01798 85.5753 2.47876
51 4 154.654 1.0165 94.4265 2.47697
51 5 154.569 1.0355 103.19 2.43102
51 6 154.419 1.04196 111.714 2.34466
51 7 154.226 1.03873 119.878 2.23001
52 0 150.664 1.04435 60.1209 2.23036
52 1 150.811 1.05864 68.285 2.34383
52 2 150.942 1.05568 76.8109 2.43166
52 3 151.008 1.04385 85.577 2.4777
52 4 151.008 1.04515 94.4249 2.47848
52 5 150.937 1.05616 103.189 2.43138
52 6 150.815 1.05708 111.713 2.34419
52 7 150.669 1.04299 119.88 2.23037
53 0 147.053 1.03138 60.1203 2.23056
53 1 147.135 1.0566 68.286 2.3444
53 2 147.222 1.06838 76.8128 2.43035
53 3 147.268 1.06304 85.5749 2.47827
53 4 147.269 1.06156 94.4242 2.47828
53 5 147.217 1.06791 103.189 2.43176
53 6 147.141 1.06059 111.714 2.34466
53 7 147.057 1.03373 119.88 2.2306
54 0 143.397 1.02787 60.12 2.23039
54 1 143.415 1.05166 68.2872 2.34384
54 2 143.447 1.06911 76.8114 2.43156
54 3 143.464 1.07222 85.5749 2.4787
54 4 143.465 1.07359 94.4242 2.47873
54 5 143.449 1.06933 103.189 2.43138
54 6 143.414 1.05064 111.713 2.34409
54 7 143.393 1.03007 119.879 2.23018
55 0 139.745 1.047 60.1207 2.23031
55 1 139.657 1.05576 68.2861 2.3446
55 2 139.63 1.06896 76.8108 2.43168
55 3 139.628 1.07443 85.5756 2.47901
55 4 139.628 1.07544 94.4245 2.47889
55 5 139.631 1.06912 103.189 2.43173
55 6 139.656 1.05561 111.714 2.34445
55 7 139.746 1.0474 119.88 2.23049
56 0 136.145 1.06585 60.1205 2.23069
56 1 135.944 1.07203 68.2864 2.34385
56 2 135.838 1.07372 76.8109 2.43152
56 3 135.798 1.07289 85.5754 2.47902
56 4 135.796 1.07276 94.4243 2.47877
56 5 135.839 1.07543 103.189 2.43156
56 6 135.951 1.06981 111.714 2.34466
56 7 136.144 1.07015 119.88 2.23023
57 0 132.603 1.08522 60.1202 2.23055
57 1 132.285 1.08179 68.2869 2.34433
57 2 132.092 1.07301 76.8107 2.43162
57 3 132.006 1.0631 85.5754 2.47897
57 4 132.009 1.0634 94.4244 2.47892
57 5 132.096 1.07695 103.189 2.43157
57 6 132.283 1.07857 111.714 2.34458
57 7 132.607 1.0816 119.88 2.23058
58 0 129.156 1.08771 60.1206 2.23064
58 1 128.703 1.08941 68.286 2.34467
58 2 128.424 1.07173 76.8112 2.43163
58 3 128.289 1.04528 85.575 2.47863
58 4 128.289 1.04725 94.424 2.47862
58 5 128.42 1.06944 103.189 2.43143
58 6 128.709 1.08676 111.713 2.34455
58 7 129.155 1.09622 119.879 2.2303
59 0 125.805 1.10127 60.1207 2.23022
59 1 125.229 1.0837 68.2867 2.34437
59 2 124.845 1.05872 76.8101 2.43113
59 3 124.67 1.02036 85.5752 2.47885
59 4 124.664 1.01957 94.4248 2.47809
59 5 124.857 1.05357 103.189 2.43149
59 6 125.234 1.08528 111.713 2.34444
59 7 125.811 1.10091 119.88 2.22983
60 0 122.6 1.0959 60.1205 2.23072
60 1 121.882 1.08093 68.2861 2.34478
