# Global_Ring Global_Wedge Theta_Mean Theta_Sigma Phi_Mean Phi_Sigma
60 2 121.397 1.03643 76.811 2.4316
60 3 121.168 0.989876 85.5756 2.47905
60 4 121.17 0.992178 94.4245 2.47893
60 5 121.399 1.04167 103.189 2.43171
60 6 121.877 1.08389 111.714 2.34386
60 7 122.565 1.1017 119.879 2.23027
61 0 119.502 1.09836 60.1184 2.22945
61 1 118.661 1.0736 68.2858 2.34455
61 2 118.089 1.02086 76.811 2.43159
61 3 117.813 0.956147 85.5755 2.47902
61 4 117.812 0.957887 94.4247 2.47897
61 5 118.099 1.01883 103.189 2.43158
61 6 118.661 1.07086 111.714 2.34446
61 7 119.489 1.09761 119.88 2.23025
62 0 116.565 1.09137 60.1205 2.23077
62 1 115.598 1.05682 68.286 2.34465
62 2 114.938 1.00079 76.8111 2.43153
62 3 114.606 0.91834 85.5755 2.47907
62 4 114.604 0.916316 94.4252 2.47845
62 5 114.937 0.993595 103.189 2.43173
62 6 115.602 1.05769 111.715 2.3442
62 7 116.565 1.10578 119.88 2.23059
63 0 113.777 1.09538 60.1206 2.23046
63 1 112.687 1.04195 68.2871 2.34422
63 2 111.947 0.970232 76.8109 2.43166
63 3 111.568 0.880639 85.5754 2.47864
63 4 111.564 0.878412 94.4251 2.4787
63 5 111.947 0.96391 103.189 2.43134
63 6 112.685 1.04066 111.714 2.34475
63 7 113.789 1.09371 119.879 2.23064
