# Global_Ring Global_Wedge Theta_Mean Theta_Sigma Phi_Mean Phi_Sigma
112 40 164.343 0.956903 276.121 2.22968
112 41 164.57 0.938421 284.286 2.34432
112 42 164.746 0.920113 292.811 2.42909
112 43 164.839 0.895316 301.575 2.47731
112 44 164.836 0.896205 310.425 2.47646
112 45 164.748 0.916738 319.189 2.43148
112 46 164.563 0.938474 327.714 2.34435
112 47 164.336 0.95774 335.88 2.23034
113 40 161.079 0.993569 276.119 2.22868
113 41 161.31 0.984964 284.283 2.34285
113 42 161.5 0.961398 292.812 2.43098
113 43 161.586 0.943398 301.576 2.4788
113 44 161.591 0.941495 310.424 2.47889
113 45 161.497 0.965006 319.187 2.43029
113 46 161.317 0.983297 327.714 2.34472
113 47 161.09 0.992403 335.88 2.23061
114 40 157.699 1.01992 276.121 2.23023
114 41 157.921 1.01756 284.287 2.34454
114 42 158.092 1.005 292.81 2.43048
114 43 158.19 0.982157 301.576 2.47898
114 44 158.19 0.981222 310.425 2.47871
114 45 158.092 1.00492 319.19 2.43146
114 46 157.923 1.01749 327.714 2.34436
114 47 157.697 1.02064 335.881 2.22975
115 40 154.234 1.03501 276.121 2.23043
115 41 154.412 1.04315 284.286 2.34447
115 42 154.569 1.03604 292.812 2.43128
115 43 154.658 1.01738 301.576 2.47861
115 44 154.659 1.01682 310.424 2.47859
115 45 154.57 1.03341 319.189 2.43112
115 46 154.415 1.04124 327.713 2.34414
115 47 154.226 1.03876 335.879 2.23012
116 40 150.663 1.03926 276.121 2.23061
116 41 150.813 1.05654 284.285 2.34367
116 42 150.926 1.05367 292.809 2.43033
116 43 151.011 1.04353 301.575 2.47898
116 44 151.009 1.04382 310.424 2.47876
116 45 150.939 1.05771 319.188 2.43102
116 46 150.809 1.05683 327.714 2.3445
116 47 150.669 1.04172 335.88 2.23072
117 40 147.058 1.03409 276.12 2.23022
117 41 147.139 1.05783 284.286 2.34364
117 42 147.219 1.06931 292.812 2.43112
117 43 147.271 1.06256 301.576 2.47901
117 44 147.267 1.06338 310.424 2.47887
117 45 147.222 1.06551 319.189 2.43141
117 46 147.139 1.05835 327.714 2.34476
117 47 147.058 1.03302 335.88 2.23067
118 40 143.393 1.02882 276.12 2.23075
118 41 143.418 1.05297 284.286 2.34454
118 42 143.446 1.06796 292.81 2.43129
118 43 143.465 1.07359 301.575 2.47872
118 44 143.464 1.07316 310.424 2.47889
