# Global_Ring Global_Wedge Theta_Mean Theta_Sigma Phi_Mean Phi_Sigma
118 45 143.448 1.0687 319.189 2.43162
118 46 143.418 1.05307 327.714 2.34466
118 47 143.395 1.02945 335.88 2.2307
119 40 139.742 1.04403 276.121 2.23039
119 41 139.659 1.05544 284.286 2.34482
119 42 139.631 1.06883 292.811 2.43153
119 43 139.628 1.07541 301.576 2.47864
119 44 139.628 1.07499 310.425 2.47867
119 45 139.63 1.06919 319.188 2.43116
119 46 139.656 1.05495 327.714 2.34445
119 47 139.742 1.04558 335.88 2.23056
120 40 136.14 1.06634 276.121 2.23073
120 41 135.948 1.07007 284.287 2.34467
120 42 135.839 1.07321 292.811 2.43166
120 43 135.797 1.07095 301.575 2.47887
120 44 135.796 1.07151 310.425 2.47849
120 45 135.836 1.07536 319.189 2.43146
120 46 135.947 1.07336 327.714 2.34463
120 47 136.144 1.06478 335.88 2.23038
121 40 132.607 1.07617 276.121 2.23067
121 41 132.285 1.08154 284.286 2.34484
121 42 132.092 1.07423 292.811 2.43173
121 43 132.006 1.06306 301.575 2.47854
121 44 132.006 1.06181 310.424 2.47894
121 45 132.09 1.07558 319.189 2.43169
121 46 132.28 1.08057 327.714 2.34453
121 47 132.605 1.08559 335.88 2.23028
122 40 129.158 1.09286 276.12 2.23044
122 41 128.704 1.08169 284.286 2.34464
122 42 128.421 1.06898 292.811 2.43114
122 43 128.286 1.04563 301.575 2.47888
122 44 128.287 1.04526 310.424 2.479
122 45 128.425 1.07045 319.189 2.43159
122 46 128.697 1.08208 327.714 2.34469
122 47 129.153 1.08996 335.881 2.22989
123 40 125.812 1.10289 276.12 2.23054
123 41 125.218 1.08487 284.286 2.34449
123 42 124.849 1.05849 292.811 2.43177
123 43 124.667 1.02027 301.575 2.47894
123 44 124.668 1.02193 310.425 2.47888
123 45 124.85 1.05963 319.189 2.43149
123 46 125.232 1.08258 327.714 2.34451
123 47 125.815 1.09576 335.88 2.22994
124 40 122.594 1.10418 276.121 2.23073
124 41 121.886 1.0813 284.286 2.34474
124 42 121.397 1.04053 292.812 2.43133
124 43 121.168 0.989392 301.576 2.47878
124 44 121.165 0.990023 310.424 2.47869
124 45 121.407 1.0437 319.188 2.43082
124 46 121.879 1.07874 327.714 2.34439
124 47 122.587 1.11005 335.88 2.23052
125 40 119.513 1.09759 276.12 2.23067
125 41 118.657 1.06999 284.286 2.34464
125 42 118.095 1.01986 292.811 2.43175
125 43 117.811 0.956195 301.576 2.479
125 44 117.811 0.956469 310.425 2.4786
125 45 118.096 1.02396 319.189 2.4314
125 46 118.663 1.07008 327.714 2.34462
125 47 119.495 1.1075 335.88 2.22991
126 40 116.565 1.10498 276.121 2.22989
126 41 115.593 1.0578 284.287 2.34413
126 42 114.939 0.99374 292.811 2.43162
126 43 114.611 0.920747 301.575 2.4788
126 44 114.61 0.920652 310.424 2.47901
126 45 114.943 0.99654 319.189 2.4315
126 46 115.59 1.05334 327.714 2.34474
126 47 116.561 1.10834 335.879 2.23015
127 40 113.772 1.09715 276.12 2.23064
127 41 112.695 1.04371 284.286 2.3444
127 42 111.936 0.969133 292.811 2.43165
127 43 111.566 0.877792 301.576 2.47897
127 44 111.568 0.877014 310.424 2.47855
127 45 111.951 0.971348 319.189 2.43138
127 46 112.685 1.04843 327.714 2.34438
127 47 113.768 1.0946 335.879 2.23048
