ExE(keV)	bu1	bu2	both
1500.0	2.521	2.694	13.871
1505.0	2.626	2.853	13.511
1510.0	2.836	2.966	13.664
1515.0	2.832	3.16	13.527
1520.0	2.878	3.192	13.32
1525.0	2.986	3.442	13.405
1530.0	3.085	3.615	13.266
1535.0	3.114	3.73	13.401
1540.0	3.275	3.87	13.209
1545.0	3.252	4.03	12.972
1550.0	3.428	4.093	13.016
1555.0	3.43	4.203	13.094
1560.0	3.485	4.308	12.964
1565.0	3.75	4.373	12.995
1570.0	3.695	4.491	12.862
1575.0	3.669	4.721	12.825
1580.0	3.724	4.585	12.72
1585.0	3.722	4.651	12.687
1590.0	3.817	4.597	12.752
1595.0	3.808	4.877	12.641
1600.0	3.912	4.862	12.566
1605.0	4.043	4.904	12.527
1610.0	3.98	4.992	12.488
1615.0	3.987	4.993	12.388
1620.0	4.003	4.968	12.718
1625.0	4.002	5.088	12.541
1630.0	4.062	5.083	12.404
1635.0	4.126	5.056	12.637
1640.0	4.251	5.203	12.454
1645.0	4.276	5.2	12.23
1650.0	4.194	5.284	12.504
1655.0	4.176	5.291	12.273
1660.0	4.13	5.453	12.195
1665.0	4.29	5.31	12.246
1670.0	4.291	5.327	12.16
1675.0	4.317	5.273	12.281
1680.0	4.513	5.239	12.167
1685.0	4.241	5.35	12.435
1690.0	4.445	5.28	12.339
1695.0	4.477	5.288	12.374
1700.0	4.667	5.334	12.291
1705.0	4.559	5.433	12.178
1710.0	4.666	5.434	12.256
1715.0	4.579	5.253	12.231
1720.0	4.597	5.439	12.236
1725.0	4.654	5.282	12.346
1730.0	4.68	5.382	12.253
1735.0	4.781	5.406	12.459
1740.0	4.757	5.374	12.353
1745.0	4.731	5.385	12.433
1750.0	4.821	5.449	12.114
1755.0	4.74	5.342	12.112
1760.0	4.931	5.279	12.098
1765.0	4.789	5.432	12.275
1770.0	4.91	5.368	12.14
1775.0	4.964	5.395	12.092
1780.0	4.954	5.5	12.169
1785.0	4.971	5.354	12.211
1790.0	4.963	5.51	11.887
1795.0	4.965	5.398	12.199
1800.0	5.052	5.502	11.916
1805.0	5.119	5.465	12.027
1810.0	5.167	5.457	12.101
1815.0	5.158	5.451	11.853
1820.0	5.2	5.407	12.111
1825.0	5.295	5.382	11.956
1830.0	5.241	5.546	11.773
1835.0	5.229	5.505	11.659
1840.0	5.307	5.421	11.829
1845.0	5.433	5.513	11.864
1850.0	5.346	5.561	11.922
1855.0	5.498	5.522	11.652
1860.0	5.45	5.693	11.743
1865.0	5.543	5.612	11.838
1870.0	5.603	5.539	11.778
1875.0	5.595	5.565	11.443
1880.0	5.582	5.535	11.697
1885.0	5.82	5.586	11.705
1890.0	5.476	5.455	11.555
1895.0	5.637	5.618	11.49
1900.0	5.644	5.671	11.541
1905.0	5.934	5.63	11.418
1910.0	5.893	5.495	11.524
1915.0	5.909	5.619	11.511
