ExE(keV)	bu1	bu2	both
1920.0	5.862	5.721	11.37
1925.0	6.058	5.553	11.501
1930.0	5.935	5.615	11.282
1935.0	6.0	5.678	11.189
1940.0	6.128	5.636	11.351
1945.0	5.934	5.58	11.327
1950.0	6.108	5.547	11.152
1955.0	6.131	5.71	11.224
1960.0	6.106	5.739	11.254
1965.0	6.142	5.679	11.148
1970.0	6.061	5.602	11.156
1975.0	6.256	5.83	11.07
1980.0	6.306	5.855	11.057
1985.0	6.201	5.65	11.091
1990.0	6.225	5.696	11.172
1995.0	6.277	5.836	11.072
2000.0	6.326	5.893	10.804
2005.0	6.352	5.68	11.057
2009.9999999999998	6.488	5.68	10.976
2015.0000000000002	6.574	5.911	10.895
2020.0	6.386	5.801	10.929
2025.0	6.505	5.807	10.921
2029.9999999999998	6.62	5.913	10.946
2035.0000000000002	6.615	5.868	10.808
2040.0	6.535	5.861	10.845
2045.0	6.776	5.773	10.668
2050.0	6.502	5.868	10.758
2055.0	6.68	5.934	10.789
2060.0	6.701	5.919	10.636
2065.0	6.603	5.819	10.799
2070.0	6.649	5.891	10.849
2075.0	6.776	5.91	10.57
2080.0	6.86	6.017	10.521
2085.0	6.785	5.938	10.61
2090.0	6.759	5.916	10.397
2095.0	6.725	5.843	10.554
2100.0	6.838	5.976	10.457
2105.0	6.845	5.909	10.4
2110.0	6.922	5.963	10.734
2115.0	6.853	5.975	10.646
2120.0	7.043	6.008	10.414
2125.0	6.777	6.07	10.438
2130.0	7.025	5.8	10.444
2135.0	6.942	5.906	10.275
2140.0	6.92	5.931	10.491
2145.0	7.08	6.091	10.392
2150.0	7.087	6.08	10.22
2155.0	7.095	6.089	10.298
2160.0	7.077	6.082	10.398
2165.0	7.036	6.056	10.323
2170.0	7.141	6.161	10.274
2175.0	7.207	6.116	10.09
2180.0	7.278	6.224	10.156
2185.0	7.271	5.972	10.16
2190.0	7.117	6.064	10.247
2195.0	7.328	6.032	10.118
2200.0	7.227	6.067	10.073
2205.0	7.124	6.21	10.321
2210.0	7.201	6.23	10.004
2215.0	7.323	6.228	10.249
2220.0	7.372	6.292	10.029
2225.0	7.334	6.158	10.171
2230.0	7.363	6.153	10.052
2235.0	7.374	6.241	9.996
2240.0	7.461	6.217	10.068
2245.0	7.415	6.263	10.068
2250.0	7.452	6.236	9.907
2255.0	7.386	6.162	9.756
2260.0	7.296	6.2	9.818
2265.0	7.408	6.16	10.015
2270.0	7.53	6.057	10.197
2275.0	7.473	6.219	9.949
2280.0	7.321	6.111	9.892
2285.0	7.6	6.167	9.867
2290.0	7.571	6.158	10.0
2295.0	7.545	6.203	9.786
2300.0	7.582	6.143	9.886
2305.0	7.368	6.275	10.051
2310.0	7.679	6.175	9.927
2315.0	7.496	6.174	9.815
2320.0	7.594	6.279	9.814
2325.0	7.54	6.271	9.968
2330.0	7.541	6.236	9.804
2335.0	7.62	6.125	9.67
2340.0	7.623	6.368	9.84
2345.0	7.651	6.082	9.729
2350.0	7.564	6.338	9.823
2355.0	7.695	6.095	9.789
2360.0	7.532	6.274	9.85
2365.0	7.67	6.238	9.479
2370.0	7.876	6.231	9.676
2375.0	7.778	6.277	9.662
2380.0	7.697	6.302	9.807
2385.0	7.635	6.157	9.695
2390.0	7.775	6.185	9.593
2395.0	7.765	6.38	9.6
2400.0	7.836	6.332	9.587
2405.0	7.776	6.258	9.622
2410.0	7.71	6.276	9.56
2415.0	7.741	6.099	9.55
2420.0	7.65	6.233	9.6
2425.0	7.959	6.108	9.499
2430.0	7.908	6.292	9.544
2435.0	7.805	6.288	9.537
2440.0	7.796	6.316	9.517
2445.0	7.838	6.315	9.466
2450.0	7.91	6.381	9.544
2455.0	7.777	6.222	9.415
2460.0	8.092	6.315	9.499
2465.0	8.019	6.33	9.503
2470.0	8.022	6.425	9.405
2475.0	7.906	6.277	9.546
2480.0	7.961	6.34	9.536
2485.0	7.766	6.337	9.433
2490.0	7.863	6.42	9.404
2495.0	7.914	6.412	9.498
2500.0	8.056	6.368	9.424
2505.0	7.904	6.263	9.396
2510.0	7.983	6.346	9.431
2515.0	8.058	6.365	9.486
2520.0	7.89	6.599	9.241
2525.0	8.031	6.471	9.338
2530.0	7.976	6.342	9.328
2535.0	8.062	6.398	9.247
2540.0	7.931	6.391	9.399
2545.0	8.077	6.412	9.142
2550.0	8.105	6.463	9.154
2555.0	8.199	6.35	9.086
2560.0	8.264	6.346	9.237
2565.0	8.174	6.361	9.236
2570.0	8.273	6.434	9.202
2575.0	8.264	6.282	8.986
2580.0	8.216	6.347	8.977
2585.0	8.112	6.339	9.004
2590.0	8.136	6.311	9.0
2595.0	8.281	6.458	9.277
2600.0	8.301	6.405	9.171
2605.0	8.176	6.541	8.907
2610.0	8.476	6.406	8.981
2615.0	8.203	6.487	8.952
2620.0	8.441	6.45	9.073
2625.0	8.197	6.58	8.986
2630.0	8.386	6.542	8.782
2635.0	8.301	6.315	8.978
2640.0	8.389	6.542	8.772
2645.0	8.43	6.518	9.009
2650.0	8.411	6.582	8.856
2655.0	8.308	6.565	9.009
2660.0	8.282	6.431	9.066
2665.0	8.302	6.633	8.831
2670.0	8.323	6.483	8.94
2675.0	8.525	6.705	8.829
2680.0	8.458	6.663	8.676
2685.0	8.423	6.617	8.845
2690.0	8.524	6.622	8.788
2695.0	8.297	6.549	8.975
2700.0	8.442	6.595	8.769
2705.0	8.465	6.611	8.562
2710.0	8.484	6.523	8.88
2715.0	8.556	6.557	8.781
2720.0	8.434	6.512	8.722
2725.0	8.557	6.619	8.72
2730.0	8.605	6.89	8.655
2735.0	8.579	6.744	8.614
2740.0	8.604	6.737	8.69
2745.0	8.54	6.69	8.475
2750.0	8.546	6.867	8.592
2755.0	8.485	6.697	8.636
2760.0	8.666	6.663	8.59
2765.0	8.615	6.873	8.449
2770.0	8.797	6.707	8.55
2775.0	8.593	6.842	8.787
2780.0	8.553	6.642	8.504
2785.0	8.427	6.742	8.537
2790.0	8.543	6.829	8.557
2795.0	8.53	6.74	8.547
2800.0	8.574	6.946	8.401
2805.0	8.576	6.866	8.412
2810.0	8.839	6.759	8.227
2815.0	8.663	6.73	8.575
2820.0	8.759	6.692	8.539
2825.0	8.786	6.839	8.376
2830.0	8.683	6.849	8.477
2835.0	8.759	6.836	8.338
2840.0	8.736	6.91	8.427
2845.0	8.719	6.801	8.402
2850.0	8.883	6.957	8.289
2855.0	8.611	6.968	8.362
2860.0	8.802	6.893	8.308
2865.0	8.748	7.023	8.213
2870.0	8.793	6.869	8.21
2875.0	8.718	6.817	8.265
2880.0	8.725	7.009	8.163
2885.0	8.785	6.949	8.203
2890.0	8.884	7.004	8.142
2895.0	8.759	6.909	8.315
2900.0	8.827	6.867	8.248
2905.0	8.924	6.985	7.913
2910.0	8.833	6.887	8.095
2915.0	8.954	7.025	7.996
2920.0	8.695	7.152	8.116
2925.0	8.903	7.035	8.079
2930.0	8.967	7.128	8.04
2935.0	8.862	7.138	7.876
2940.0	8.755	7.06	8.042
2945.0	8.891	7.102	7.88
2950.0	9.004	7.203	8.075
2955.0	8.896	6.861	7.94
2960.0	9.037	7.067	7.987
2965.0	8.944	7.071	8.082
2970.0	8.988	7.188	7.698
2975.0	9.03	7.304	7.826
2980.0	9.184	7.108	7.845
2985.0	8.872	7.094	7.895
2990.0	8.959	7.166	7.88
2995.0	8.906	7.252	7.799
3000.0	9.054	7.265	7.731
3005.0	8.893	7.276	7.827
3010.0	8.971	7.333	7.785
3015.0	9.11	7.133	7.914
3020.0	9.078	7.301	7.734
3025.0	9.134	7.241	7.789
3030.0	9.082	7.408	7.801
3035.0	9.047	7.372	7.629
3040.0	8.971	7.201	7.825
3045.0	9.005	7.207	7.732
3050.0	8.862	7.403	7.749
3055.0	9.137	7.273	7.717
3060.0	9.024	7.366	7.634
3065.0	9.016	7.405	7.614
3070.0	9.168	7.307	7.582
3075.0	9.315	7.405	7.53
3080.0	8.981	7.423	7.585
3085.0	9.111	7.4	7.561
3090.0	9.089	7.442	7.47
3095.0	9.006	7.409	7.399
3100.0	8.932	7.517	7.533
3105.0	9.228	7.379	7.509
3110.0	9.071	7.648	7.424
3115.0	8.976	7.64	7.436
3120.0	9.349	7.602	7.334
3125.0	9.215	7.55	7.466
3130.0	9.158	7.533	7.427
3135.0	9.22	7.66	7.273
3140.0	9.23	7.644	7.384
3145.0	9.142	7.646	7.178
3150.0	9.272	7.769	7.2
3155.0	9.298	7.634	7.321
3160.0	9.174	7.641	7.273
3165.0	9.383	7.597	7.205
3170.0	9.301	7.662	7.215
3175.0	9.235	7.54	7.237
3180.0	9.197	7.631	7.237
3185.0	9.231	7.781	7.272
3190.0	9.262	7.637	7.336
3195.0	9.276	7.694	7.113
3200.0	9.3	7.696	7.231
3205.0	9.345	7.732	7.165
3210.0	9.402	7.777	7.128
3215.0	9.187	7.867	7.052
3220.0	9.212	7.797	7.045
3225.0	9.377	7.661	7.11
3230.0	9.253	7.778	7.065
3235.0	9.203	7.621	7.097
3240.0	9.39	7.824	6.999
3245.0	9.552	7.788	6.98
3250.0	9.327	7.837	6.974
3255.0	9.497	7.939	6.962
3260.0	9.468	7.895	7.003
3265.0	9.377	7.882	6.956
3270.0	9.373	7.719	6.904
3275.0	9.489	7.894	6.987
3280.0	9.467	7.861	6.816
3285.0	9.37	7.909	6.944
3290.0	9.567	8.014	6.941
3295.0	9.465	7.87	6.878
3300.0	9.428	7.793	6.849
3305.0	9.504	8.103	6.779
3310.0	9.457	7.944	6.682
3315.0	9.445	8.051	6.853
3320.0	9.317	7.943	6.772
3325.0	9.502	8.04	6.933
3330.0	9.268	8.024	6.658
3335.0	9.402	7.912	6.72
3340.0	9.382	8.018	6.586
3345.0	9.382	8.092	6.785
3350.0	9.446	8.024	6.72
3355.0	9.667	8.127	6.618
3360.0	9.373	8.1	6.83
3365.0	9.552	7.972	6.557
3370.0	9.43	8.117	6.77
3375.0	9.482	8.017	6.636
3380.0	9.782	8.093	6.507
3385.0	9.522	8.223	6.547
3390.0	9.441	8.334	6.57
3395.0	9.541	8.311	6.547
3400.0	9.406	8.174	6.7
3405.0	9.538	8.262	6.564
3410.0	9.638	8.183	6.677
3415.0	9.659	8.321	6.504
3420.0	9.457	8.256	6.547
3425.0	9.652	8.166	6.564
3430.0	9.565	8.113	6.48
3435.0	9.775	8.293	6.542
3440.0	9.689	8.173	6.45
3445.0	9.601	8.287	6.342
3450.0	9.685	8.373	6.323
3455.0	9.663	8.353	6.464
3460.0	9.63	8.272	6.324
3465.0	9.624	8.405	6.299
3470.0	9.673	8.277	6.434
3475.0	9.634	8.207	6.319
3480.0	9.575	8.525	6.265
3485.0	9.724	8.333	6.202
3490.0	9.639	8.344	6.466
3495.0	9.649	8.34	6.312
3500.0	9.713	8.452	6.183
3505.0	9.901	8.443	6.226
3510.0	9.685	8.42	6.265
3515.0	9.749	8.457	6.208
3520.0	9.743	8.388	6.205
3525.0	9.844	8.381	6.166
3530.0	9.691	8.381	6.195
3535.0	9.673	8.625	6.325
3540.0	9.668	8.398	6.099
3545.0	9.785	8.54	6.168
3550.0	9.615	8.487	6.091
3555.0	9.766	8.581	6.078
3560.0	9.775	8.704	6.192
3565.0	9.544	8.616	6.134
3570.0	9.839	8.469	6.157
3575.0	9.788	8.694	6.064
3580.0	9.676	8.699	6.223
3585.0	9.939	8.409	5.961
3590.0	9.979	8.549	6.136
3595.0	9.889	8.788	6.076
3600.0	9.719	8.612	6.021
3605.0	9.687	8.768	6.069
3610.0	9.907	8.589	5.99
3615.0	9.734	8.622	6.027
3620.0	10.01	8.628	5.847
3625.0	9.938	8.927	5.926
3630.0	9.814	8.836	6.0
3635.0	9.89	8.798	5.994
3640.0	9.9	8.67	5.938
3645.0	9.914	8.751	5.807
3650.0	9.844	8.767	5.772
3655.0	9.923	8.734	5.84
3660.0	9.917	8.67	6.029
3665.0	9.912	8.685	5.87
3670.0	9.838	8.871	5.914
3675.0	9.959	8.784	5.772
3680.0	9.852	8.835	5.818
3685.0	9.941	8.914	5.598
3690.0	9.929	8.961	5.698
3695.0	10.09	8.766	5.761
3700.0	9.835	8.852	5.633
3705.0	9.997	8.996	5.652
3710.0	10.027	8.754	5.692
3715.0	10.165	8.806	5.86
3720.0	10.1	8.941	5.774
3725.0	10.078	8.891	5.713
3730.0	9.862	8.961	5.684
3735.0	10.054	9.086	5.694
3740.0	9.788	9.081	5.54
3745.0	10.132	8.929	5.651
3750.0	9.834	9.065	5.52
3755.0	10.172	8.745	5.694
3760.0	10.159	8.986	5.468
3765.0	10.074	9.03	5.61
3770.0	9.955	9.094	5.605
3775.0	9.961	9.028	5.426
3780.0	10.101	8.935	5.558
3785.0	10.295	8.884	5.482
3790.0	10.114	9.092	5.631
3795.0	10.196	9.129	5.587
3800.0	10.108	9.115	5.402
3805.0	9.972	9.008	5.588
3810.0	10.018	8.954	5.407
3815.0	9.934	9.045	5.416
3820.0	10.099	9.137	5.467
3825.0	10.207	9.034	5.437
3830.0	10.031	9.061	5.41
3835.0	10.112	9.216	5.281
3840.0	10.092	9.318	5.377
3845.0	10.039	9.141	5.367
3850.0	10.249	9.21	5.398
3855.0	10.027	9.233	5.319
3860.0	10.146	9.346	5.366
3865.0	10.33	8.998	5.274
3870.0	10.113	9.241	5.356
3875.0	10.244	9.298	5.344
3880.0	10.249	9.089	5.232
3885.0	10.083	9.341	5.205
3890.0	10.198	9.354	5.392
3895.0	10.279	9.375	5.252
3900.0	10.162	9.253	5.271
3905.0	10.124	9.342	5.246
3910.0	10.292	9.419	5.144
3915.0	10.249	9.203	5.169
3920.0	10.28	9.336	5.149
3925.0	10.194	9.29	5.236
3930.0	10.197	9.292	5.194
3935.0	10.068	9.462	4.974
3940.0	10.21	9.334	5.273
3945.0	10.187	9.275	5.246
3950.0	10.373	9.467	5.025
3955.0	10.399	9.414	5.217
3960.0	10.114	9.49	5.142
3965.0	10.372	9.315	5.109
3970.0	10.154	9.509	5.052
3975.0	10.246	9.371	5.002
3980.0	10.432	9.571	5.093
3985.0	10.235	9.477	5.001
3990.0	10.22	9.496	5.168
3995.0	10.307	9.404	5.063
4000.0	10.439	9.542	5.06
