ExE(keV)	bu1	bu2	bu3	bu1bu2	bu2bu3	bu1bu3	all
2165.0	10.64	3.334	10.856	17.376	10.553	32.797	11.39
2170.0	10.63	3.288	10.766	17.7	10.429	32.863	11.253
2175.0	10.492	3.385	10.965	17.539	10.696	32.606	11.335
2180.0	10.615	3.317	11.003	17.377	10.506	32.855	11.338
2185.0	10.672	3.453	10.922	17.491	10.609	32.519	11.298
2190.0	10.684	3.353	10.881	17.575	10.612	32.437	11.287
2195.0	10.687	3.3	11.073	17.497	10.513	32.812	10.982
2200.0	10.554	3.383	10.917	17.587	10.727	32.615	11.023
2205.0	10.849	3.532	10.958	17.478	10.839	32.328	10.908
2210.0	10.444	3.39	11.446	17.672	10.748	32.386	10.794
2215.0	10.641	3.396	11.096	17.685	10.54	32.343	11.069
2220.0	10.624	3.438	11.087	17.678	10.902	32.485	10.658
2225.0	10.946	3.441	11.255	17.492	10.563	32.257	10.795
2230.0	10.685	3.42	11.314	17.782	10.798	32.069	10.737
2235.0	10.539	3.438	11.417	17.571	10.972	32.06	10.689
2240.0	10.767	3.52	11.415	17.58	10.947	31.96	10.503
2245.0	10.932	3.365	11.238	17.368	11.115	32.067	10.716
2250.0	10.799	3.561	11.575	17.511	11.035	31.945	10.278
2255.0	10.823	3.552	11.501	17.615	11.026	31.988	10.258
2260.0	10.766	3.465	11.592	17.654	10.974	31.885	10.347
2265.0	10.968	3.471	11.546	17.632	11.189	31.635	10.241
2270.0	10.798	3.599	11.666	17.403	11.084	31.738	10.397
2275.0	10.957	3.53	11.56	17.503	11.314	31.615	10.13
2280.0	10.737	3.517	11.733	17.446	11.356	31.699	10.068
2285.0	10.873	3.451	11.696	17.489	11.438	31.738	10.059
2290.0	10.887	3.567	11.853	17.572	11.343	31.439	10.002
2295.0	10.956	3.506	11.845	17.689	11.428	31.443	9.823
2300.0	10.991	3.564	11.917	17.709	11.456	31.147	9.827
2305.0	11.042	3.507	11.926	17.636	11.297	31.381	9.789
