ExE(keV)	bu1	bu2	bu3	bu1bu2	bu2bu3	bu1bu3	all
3775.0	16.881	5.423	18.582	16.47	17.141	18.046	1.395
3780.0	17.02	5.372	18.333	16.786	17.133	17.924	1.434
3785.0	17.25	5.316	18.39	16.795	17.082	17.765	1.407
3790.0	17.163	5.435	18.463	16.676	17.049	17.765	1.393
3795.0	17.274	5.476	18.676	16.43	17.097	17.643	1.411
3800.0	17.191	5.507	18.593	16.508	17.081	17.754	1.327
3805.0	17.184	5.477	18.591	16.553	17.117	17.852	1.303
3810.0	17.211	5.5	18.37	16.692	17.084	17.625	1.325
3815.0	17.275	5.442	18.494	16.505	17.145	17.788	1.348
3820.0	17.428	5.464	18.666	16.521	17.112	17.585	1.329
3825.0	17.333	5.538	18.482	16.651	17.195	17.45	1.286
3830.0	17.423	5.476	18.593	16.53	17.179	17.317	1.338
3835.0	17.546	5.581	18.607	16.353	17.177	17.456	1.294
3840.0	17.345	5.535	18.71	16.454	17.078	17.576	1.212
3845.0	17.721	5.515	18.361	16.279	17.373	17.3	1.247
3850.0	17.633	5.519	18.619	16.336	17.221	17.37	1.223
3855.0	17.46	5.661	18.543	16.643	17.065	17.3	1.266
3860.0	17.476	5.508	18.517	16.289	17.35	17.602	1.232
3865.0	17.559	5.575	18.51	16.444	17.185	17.23	1.235
3870.0	17.437	5.628	18.86	16.334	17.166	17.318	1.15
3875.0	17.699	5.508	18.779	16.212	17.305	17.253	1.115
3880.0	17.508	5.41	18.849	16.389	17.2	17.348	1.24
3885.0	17.679	5.691	18.86	16.464	17.055	16.876	1.185
3890.0	17.835	5.603	18.594	16.255	17.325	17.141	1.154
3895.0	17.642	5.556	18.792	16.44	17.196	16.979	1.139
3900.0	17.966	5.615	18.669	16.084	17.197	17.103	1.181
3905.0	17.829	5.667	18.602	16.294	17.242	16.977	1.125
3910.0	17.776	5.676	18.854	16.213	17.283	17.019	1.104
3915.0	17.825	5.603	18.815	16.262	17.471	16.816	1.111
3920.0	17.812	5.705	18.743	16.498	17.094	16.795	1.124
3925.0	17.725	5.541	18.81	16.368	17.317	17.062	1.067
3930.0	17.847	5.686	18.717	16.453	17.327	16.758	1.124
3935.0	17.725	5.708	19.031	16.142	17.311	16.862	1.079
3940.0	18.026	5.733	18.847	16.435	17.142	16.813	1.058
3945.0	17.934	5.681	19.034	16.093	17.399	16.783	1.003
3950.0	17.989	5.817	19.028	16.149	17.179	16.636	1.032
3955.0	18.088	5.834	19.104	16.194	17.125	16.499	1.034
3960.0	18.106	5.765	18.958	16.063	17.351	16.563	0.966
3965.0	17.995	5.874	19.106	16.211	17.204	16.378	1.027
3970.0	18.196	5.703	18.938	16.143	17.408	16.364	0.994
3975.0	18.047	5.745	19.078	16.146	17.332	16.577	1.022
3980.0	17.948	5.835	19.158	16.218	17.163	16.577	0.977
3985.0	18.054	5.72	18.885	16.185	17.435	16.449	0.973
3990.0	18.125	5.721	19.302	16.164	17.251	16.264	0.936
3995.0	18.259	5.707	19.156	16.357	17.153	16.186	0.944
4000.0	18.233	5.754	18.926	16.13	17.411	16.338	0.946
4005.0	18.099	5.969	18.974	15.938	17.357	16.501	0.965
4010.0	18.388	5.838	18.936	16.343	17.089	16.216	0.976
4014.9999999999995	18.218	5.815	19.094	16.207	17.252	16.3	0.92
4019.9999999999995	18.495	5.765	19.175	16.044	17.222	16.044	0.959
4025.0000000000005	18.352	5.916	19.201	15.992	17.35	16.002	0.9
4030.0000000000005	18.404	5.846	19.12	16.168	17.116	16.154	0.891
4035.0	18.255	5.813	19.25	16.156	17.257	16.176	0.925
4040.0	18.557	5.839	19.223	15.99	17.21	16.132	0.875
4045.0	18.265	5.8	19.123	15.943	17.55	16.14	0.892
4050.0	18.502	5.815	19.136	15.913	17.741	15.868	0.838
4054.9999999999995	18.37	5.948	19.13	16.106	17.301	16.058	0.861
4059.9999999999995	18.488	5.969	18.946	16.161	17.404	15.977	0.886
4065.0000000000005	18.448	6.048	19.016	16.076	17.42	15.901	0.856
4070.0000000000005	18.733	6.032	19.16	16.023	17.306	15.682	0.835
4075.0	18.429	6.036	19.261	16.001	17.358	15.765	0.815
4080.0	18.586	5.967	19.315	15.797	17.495	15.721	0.777
4085.0	18.603	5.97	19.259	15.889	17.382	15.728	0.849
4090.0	18.577	6.024	19.265	15.869	17.621	15.573	0.788
4094.9999999999995	18.638	6.058	19.282	15.987	17.328	15.587	0.78
4100.0	18.76	5.981	19.199	15.957	17.378	15.602	0.771
4105.0	18.848	6.121	19.224	15.944	17.349	15.586	0.75
4110.0	18.915	6.015	19.198	16.033	17.064	15.639	0.777
4115.0	18.692	5.956	19.339	16.11	17.385	15.44	0.82
4120.0	18.739	5.923	19.313	15.943	17.384	15.523	0.795
4125.0	18.716	6.12	19.338	15.99	17.332	15.393	0.744
4130.0	18.548	6.138	19.315	15.913	17.582	15.421	0.728
4135.0	18.752	6.012	19.436	15.892	17.318	15.644	0.736
4140.0	18.922	6.054	19.346	15.859	17.395	15.415	0.706
4145.0	18.803	6.06	19.381	15.873	17.576	15.337	0.749
4150.0	18.878	6.09	19.38	15.877	17.447	15.199	0.71
4155.0	18.773	6.108	19.535	15.812	17.445	15.259	0.684
4160.0	18.912	6.063	19.51	15.901	17.386	15.228	0.732
4165.0	18.906	6.29	19.526	15.805	17.496	15.031	0.666
4170.0	19.032	6.228	19.581	15.688	17.266	15.05	0.661
4175.0	19.125	6.125	19.742	15.79	17.12	14.997	0.674
4180.0	18.957	6.248	19.332	15.599	17.689	15.141	0.687
4185.0	19.117	6.168	19.419	15.948	17.338	15.119	0.653
4190.0	19.183	6.208	19.624	15.493	17.689	14.827	0.635
4195.0	19.134	6.163	19.508	15.648	17.528	15.03	0.627
4200.0	19.018	6.195	19.563	15.621	17.524	15.044	0.633
4205.0	19.05	6.236	19.747	15.832	17.247	14.772	0.645
4210.0	19.252	6.137	19.481	15.736	17.387	14.884	0.605
4215.0	19.261	6.246	19.704	15.788	17.331	14.673	0.634
4220.0	19.367	6.296	19.591	15.751	17.306	14.816	0.604
4225.0	19.408	6.246	19.606	15.635	17.475	14.617	0.607
4230.0	19.154	6.187	19.524	15.701	17.643	14.616	0.648
4235.0	19.538	6.337	19.59	15.657	17.392	14.525	0.569
4240.0	19.38	6.05	19.725	15.703	17.538	14.637	0.567
4245.0	19.46	6.411	19.694	15.427	17.396	14.606	0.625
4250.0	19.401	6.293	19.512	15.888	17.178	14.577	0.616
4255.0	19.569	6.335	19.657	15.491	17.425	14.489	0.558
4260.0	19.344	6.282	19.797	15.546	17.596	14.61	0.568
4265.0	19.437	6.363	19.747	15.455	17.632	14.401	0.577
4270.0	19.464	6.251	19.958	15.428	17.363	14.532	0.552
4275.0	19.394	6.177	19.508	15.539	17.721	14.468	0.553
4280.0	19.602	6.424	19.705	15.647	17.397	14.366	0.527
4285.0	19.407	6.218	19.865	15.631	17.296	14.55	0.553
4290.0	19.581	6.348	19.713	15.565	17.306	14.336	0.552
4295.0	19.508	6.191	19.986	15.559	17.634	14.252	0.517
4300.0	19.625	6.416	19.677	15.492	17.485	14.286	0.503
4305.0	19.506	6.306	19.769	15.692	17.537	14.173	0.549
4310.0	19.789	6.411	19.709	15.314	17.44	14.385	0.485
4315.0	19.567	6.478	19.955	15.351	17.511	14.18	0.506
4320.0	19.85	6.399	19.788	15.365	17.634	13.958	0.546
4325.0	19.647	6.375	19.909	15.609	17.517	13.981	0.482
4330.0	19.786	6.391	19.852	15.479	17.543	13.863	0.519
4335.0	19.686	6.372	19.959	15.356	17.668	13.873	0.515
4340.0	19.587	6.537	19.964	15.637	17.345	13.897	0.465
4345.0	19.702	6.505	19.762	15.331	17.724	14.027	0.466
4350.0	20.052	6.543	19.566	15.33	17.528	14.064	0.471
4355.0	19.889	6.469	19.862	15.553	17.456	13.783	0.457
4360.0	19.898	6.526	20.001	15.37	17.408	13.786	0.452
4365.0	20.037	6.454	19.817	15.729	17.44	13.713	0.438
4370.0	19.858	6.524	19.806	15.351	17.828	13.599	0.442
4375.0	19.628	6.591	20.155	15.232	17.561	13.859	0.451
4380.0	19.959	6.616	19.875	15.3	17.696	13.773	0.469
4385.0	20.001	6.633	19.983	15.253	17.509	13.769	0.418
4390.0	19.851	6.697	19.931	15.514	17.505	13.651	0.441
4395.0	20.098	6.57	19.974	15.279	17.544	13.659	0.411
4400.0	20.179	6.542	19.866	15.416	17.529	13.607	0.409
4405.0	20.134	6.539	20.056	15.092	17.48	13.668	0.395
4410.0	20.247	6.451	20.31	15.128	17.483	13.441	0.394
4415.0	20.128	6.802	20.011	15.174	17.667	13.404	0.433
4420.0	20.301	6.643	20.062	15.084	17.787	13.232	0.407
4425.0	19.989	6.764	20.089	15.256	17.348	13.577	0.361
4430.0	20.024	6.916	19.937	15.183	17.463	13.486	0.402
4435.0	20.288	6.717	20.097	15.192	17.332	13.546	0.404
4440.0	20.069	6.693	20.196	15.145	17.515	13.378	0.376
4445.0	20.583	6.804	19.772	15.123	17.454	13.281	0.36
4450.0	20.311	6.797	20.162	15.21	17.482	13.217	0.378
4455.0	20.441	6.735	19.967	15.085	17.609	13.285	0.392
4460.0	20.266	6.575	20.257	15.164	17.582	13.283	0.399
4465.0	20.504	6.764	20.143	15.009	17.548	13.228	0.356
4470.0	20.036	6.744	20.283	15.31	17.413	13.227	0.364
4475.0	20.563	6.698	19.964	15.279	17.441	13.05	0.33
4480.0	20.136	6.769	20.127	15.13	17.632	13.31	0.321
4485.0	20.354	6.815	20.266	14.966	17.536	13.154	0.36
4490.0	20.317	6.85	20.231	15.08	17.52	13.123	0.36
4495.0	20.605	6.872	20.086	15.111	17.424	13.065	0.328
4500.0	20.405	6.743	20.257	15.111	17.454	13.076	0.349
4505.0	20.476	6.705	20.484	14.909	17.689	12.879	0.328
4510.0	20.448	6.861	20.087	14.96	17.589	13.101	0.324
4515.0	20.633	6.912	20.019	15.207	17.568	12.809	0.357
4520.0	20.398	6.858	20.317	15.012	17.597	12.908	0.325
4525.0	20.595	6.7	20.321	14.988	17.586	12.844	0.297
4530.0	20.438	6.956	20.26	14.906	17.508	13.053	0.328
4535.0	20.485	6.903	20.466	14.987	17.313	12.791	0.343
4540.0	20.596	6.826	20.285	15.11	17.484	12.692	0.341
4545.0	20.914	6.892	20.404	14.882	17.479	12.782	0.282
4550.0	20.561	7.019	20.267	14.924	17.572	12.623	0.305
4555.0	20.572	6.992	20.475	15.027	17.306	12.709	0.267
4560.0	20.635	6.84	20.204	14.885	17.671	12.721	0.259
4565.0	20.74	6.936	20.163	14.829	17.632	12.757	0.279
4570.0	20.916	6.801	20.265	14.946	17.68	12.423	0.255
4575.0	20.755	6.951	20.358	14.971	17.337	12.615	0.3
4580.0	20.839	6.966	20.263	14.766	17.478	12.68	0.298
4585.0	20.855	6.902	20.201	14.798	17.673	12.616	0.266
4590.0	20.908	7.137	20.311	14.735	17.576	12.487	0.275
4595.0	20.812	6.903	20.492	15.003	17.335	12.421	0.269
4600.0	20.806	7.041	20.484	14.853	17.473	12.466	0.268
4605.0	20.858	7.099	20.69	14.787	17.282	12.377	0.257
4610.0	21.065	7.148	20.446	14.962	17.243	12.298	0.265
4615.0	20.946	6.917	20.367	14.758	17.625	12.306	0.277
4620.0	20.853	6.991	20.551	14.914	17.537	12.19	0.252
4625.0	21.079	7.077	20.437	14.777	17.677	11.989	0.23
4630.0	21.124	7.015	20.227	14.946	17.529	12.131	0.262
4635.0	20.988	6.979	20.486	14.931	17.407	12.22	0.253
4640.0	21.135	7.022	20.667	14.572	17.605	12.098	0.246
4645.0	21.202	7.112	20.673	14.626	17.453	12.057	0.232
4650.0	21.144	7.062	20.418	14.808	17.428	12.231	0.22
4655.0	20.839	7.075	20.71	14.668	17.616	12.147	0.261
4660.0	21.17	7.242	20.455	14.676	17.632	11.857	0.229
4665.0	21.175	7.107	20.525	14.541	17.418	12.127	0.237
4670.0	21.077	7.159	20.486	14.899	17.484	12.074	0.236
4675.0	21.169	7.144	20.842	14.439	17.676	11.846	0.217
4680.0	21.516	7.273	20.398	14.727	17.284	11.853	0.208
4685.0	21.268	7.273	20.668	14.7	17.159	11.912	0.211
4690.0	21.506	7.116	20.692	14.698	17.323	11.803	0.231
4695.0	21.108	7.153	20.536	14.819	17.67	11.761	0.236
4700.0	21.566	7.163	20.675	14.318	17.425	11.959	0.224
4705.0	21.407	7.202	20.654	14.61	17.376	11.823	0.196
4710.0	21.233	7.199	20.587	14.644	17.594	11.777	0.209
4715.0	21.487	7.252	20.51	14.602	17.578	11.518	0.181
4720.0	21.279	7.261	20.725	14.707	17.447	11.648	0.185
4725.0	21.391	7.191	20.678	14.703	17.464	11.709	0.206
4730.0	21.377	7.097	20.626	14.778	17.443	11.712	0.164
4735.0	21.426	7.199	20.736	14.485	17.696	11.539	0.188
4740.0	21.557	7.271	20.63	14.537	17.39	11.629	0.176
4745.0	21.445	7.354	20.881	14.294	17.611	11.397	0.168
4750.0	21.566	7.537	20.61	14.243	17.606	11.486	0.188
4755.0	21.745	7.334	20.738	14.504	17.463	11.286	0.187
4760.0	21.695	7.354	20.573	14.471	17.431	11.596	0.169
4765.0	21.538	7.304	20.583	14.554	17.559	11.449	0.166
4770.0	21.531	7.396	20.83	14.447	17.433	11.374	0.18
4775.0	21.807	7.364	20.719	14.385	17.424	11.396	0.181
4780.0	21.829	7.34	20.676	14.396	17.439	11.419	0.173
4785.0	21.782	7.469	20.766	14.445	17.493	11.19	0.146
4790.0	21.534	7.446	20.911	14.373	17.715	11.148	0.136
4795.0	21.501	7.432	20.71	14.411	17.686	11.267	0.158
4800.0	21.842	7.234	20.754	14.179	17.794	11.195	0.177
4805.0	21.668	7.369	20.933	14.229	17.59	11.268	0.178
4810.0	21.972	7.342	20.703	14.327	17.623	11.147	0.147
4815.0	21.974	7.362	20.703	14.294	17.605	11.116	0.145
4820.0	21.856	7.469	21.177	14.224	17.425	10.981	0.134
4825.0	21.872	7.506	21.171	14.24	17.344	10.908	0.127
4830.0	21.713	7.467	20.778	14.356	17.813	11.006	0.163
4835.0	21.827	7.522	20.708	14.302	17.526	11.056	0.152
4840.0	21.925	7.485	20.694	14.349	17.729	11.012	0.133
4845.0	21.925	7.353	20.893	14.231	17.61	11.02	0.127
4850.0	21.774	7.538	20.972	14.242	17.641	10.831	0.128
4855.0	22.147	7.475	21.029	14.286	17.52	10.65	0.138
4860.0	22.121	7.529	21.03	14.087	17.58	10.639	0.131
4865.0	21.958	7.563	21.062	14.114	17.457	10.661	0.121
4870.0	21.841	7.773	20.97	14.125	17.653	10.745	0.161
4875.0	22.138	7.82	20.883	14.057	17.531	10.672	0.136
4880.0	22.123	7.54	20.977	14.207	17.476	10.636	0.129
4885.0	22.157	7.608	20.928	14.127	17.383	10.867	0.117
4890.0	21.984	7.704	21.177	14.049	17.455	10.482	0.09
4895.0	22.162	7.566	21.102	14.102	17.276	10.781	0.123
4900.0	21.995	7.69	21.012	14.095	17.691	10.467	0.127
4905.0	22.071	7.529	21.152	14.061	17.609	10.664	0.125
4910.0	22.188	7.726	21.27	13.921	17.514	10.413	0.103
4915.0	22.324	7.643	21.271	14.052	17.481	10.318	0.113
4920.0	22.199	7.704	21.175	14.074	17.19	10.645	0.109
4925.0	22.298	7.677	20.995	13.863	17.56	10.52	0.116
4930.0	22.29	7.79	21.263	13.97	17.499	10.217	0.103
4935.0	22.175	7.695	21.017	14.015	17.443	10.514	0.1
4940.0	22.374	7.626	21.089	13.868	17.691	10.285	0.093
4945.0	22.379	7.812	21.283	13.892	17.414	10.108	0.1
4950.0	22.401	7.806	20.93	14.007	17.76	10.074	0.095
4955.0	22.572	7.677	21.173	13.778	17.634	10.163	0.083
4960.0	22.534	7.816	21.098	13.94	17.377	10.202	0.088
4965.0	22.368	7.722	21.272	13.897	17.526	10.116	0.101
4970.0	22.51	7.737	21.186	13.88	17.377	10.2	0.08
4975.0	22.605	7.664	21.148	13.929	17.553	10.08	0.089
4980.0	22.54	7.766	21.28	13.966	17.565	9.962	0.077
4985.0	22.609	7.851	21.302	13.841	17.42	9.906	0.08
4990.0	22.66	7.898	21.297	13.872	17.378	9.894	0.074
4995.0	22.443	7.754	21.429	13.777	17.536	10.056	0.083
5000.0	22.821	7.677	21.354	13.818	17.389	9.869	0.079
5005.0	22.575	7.722	21.147	13.988	17.436	10.102	0.091
5010.0	22.654	7.808	21.341	13.669	17.596	9.869	0.087
5015.0	22.667	7.968	21.109	13.849	17.686	9.75	0.085
5020.0	22.395	7.891	21.59	13.76	17.63	9.697	0.08
5025.0	22.547	7.831	21.555	13.554	17.692	9.796	0.061
5030.0	22.488	7.979	21.439	13.526	17.549	9.906	0.078
5035.0	22.574	7.853	21.371	13.869	17.502	9.827	0.072
5040.0	22.511	7.922	21.357	13.68	17.81	9.729	0.088
5045.0	22.82	7.82	21.382	13.734	17.635	9.56	0.062
5050.0	22.642	8.016	21.203	13.742	17.513	9.866	0.065
5055.0	22.743	7.839	21.526	13.582	17.421	9.793	0.063
5060.0	22.842	7.917	21.277	13.771	17.477	9.687	0.071
5065.0	22.964	7.868	21.191	13.64	17.507	9.731	0.077
5070.0	22.645	8.03	21.298	13.695	17.493	9.651	0.055
5075.0	22.885	8.016	21.338	13.56	17.521	9.62	0.077
5080.0	22.787	8.09	21.65	13.545	17.419	9.623	0.08
5085.0	22.807	8.042	21.348	13.483	17.535	9.705	0.07
5090.0	22.792	8.072	21.457	13.42	17.59	9.601	0.055
5095.0	22.798	7.907	21.39	13.705	17.549	9.55	0.075
5100.0	22.843	8.227	21.606	13.515	17.273	9.44	0.072
5105.0	22.947	7.987	21.561	13.526	17.486	9.34	0.067
5110.0	22.961	8.018	21.662	13.529	17.311	9.47	0.056
5115.0	23.033	8.193	21.613	13.271	17.411	9.274	0.055
5120.0	22.895	8.262	21.504	13.298	17.58	9.366	0.052
5125.0	23.049	8.124	21.479	13.305	17.608	9.303	0.052
5130.0	23.143	8.001	21.64	13.439	17.546	9.142	0.054
5135.0	23.299	8.059	21.478	13.523	17.358	9.177	0.052
5140.0	23.139	8.125	21.657	13.284	17.537	9.236	0.044
5145.0	23.056	8.193	21.521	13.396	17.404	9.256	0.056
5150.0	23.264	8.082	21.657	13.4	17.437	9.138	0.057
5155.0	23.125	8.166	21.729	13.418	17.331	8.987	0.053
5160.0	23.253	8.051	21.532	13.385	17.576	9.139	0.053
5165.0	23.189	7.995	21.716	13.424	17.416	9.118	0.042
5170.0	23.324	8.274	21.433	13.536	17.257	8.957	0.056
5175.0	23.271	8.056	21.615	13.296	17.557	8.99	0.05
5180.0	23.344	8.216	21.386	13.393	17.561	8.951	0.046
5185.0	23.356	8.202	21.466	13.32	17.5	8.895	0.051
5190.0	23.316	8.186	21.751	13.425	17.307	8.94	0.041
5195.0	23.627	8.238	21.618	13.201	17.368	8.831	0.043
5200.0	23.212	8.161	21.796	13.441	17.479	8.944	0.048
5205.0	23.389	8.125	21.614	13.188	17.727	8.803	0.051
5210.0	23.447	8.248	21.723	13.178	17.51	8.824	0.032
5215.0	23.276	8.358	21.612	13.144	17.602	8.913	0.044
5220.0	23.411	8.307	21.717	13.269	17.205	9.021	0.034
5225.0	23.562	8.185	21.786	13.013	17.376	8.883	0.039
5230.0	23.438	8.201	21.812	13.299	17.404	8.659	0.035
5235.0	23.321	8.407	21.729	13.238	17.24	8.843	0.037
5240.0	23.674	8.279	21.721	13.123	17.358	8.56	0.043
5245.0	23.586	8.337	21.689	13.158	17.362	8.78	0.031
5250.0	23.541	8.442	21.738	13.183	17.285	8.591	0.032
5255.0	23.493	8.354	21.54	13.209	17.485	8.681	0.023
5260.0	23.526	8.296	21.704	13.183	17.57	8.553	0.042
5265.0	23.656	8.418	21.758	13.03	17.436	8.542	0.034
5270.0	23.44	8.374	21.774	13.268	17.391	8.511	0.037
5275.0	23.514	8.315	21.814	13.119	17.487	8.492	0.028
5280.0	23.34	8.353	21.799	12.968	17.644	8.671	0.02
5285.0	23.674	8.37	21.821	12.888	17.565	8.479	0.034
5290.0	23.733	8.374	21.72	13.227	17.328	8.406	0.033
5295.0	23.683	8.415	21.772	13.013	17.583	8.409	0.033
5300.0	24.004	8.339	21.804	12.873	17.286	8.388	0.036
5305.0	23.701	8.572	21.91	13.15	17.345	8.241	0.028
5310.0	23.675	8.414	21.845	13.119	17.472	8.312	0.036
5315.0	23.886	8.465	21.843	12.989	17.495	8.236	0.033
5320.0	23.977	8.446	22.088	12.902	17.258	8.078	0.029
5325.0	23.776	8.42	21.825	12.979	17.503	8.21	0.029
5330.0	23.668	8.586	21.781	12.889	17.469	8.192	0.021
5335.0	23.703	8.591	21.94	12.903	17.536	8.141	0.027
5340.0	23.869	8.368	21.884	12.887	17.655	8.162	0.031
5345.0	23.9	8.676	21.653	12.878	17.373	8.251	0.033
5350.0	23.795	8.491	21.947	12.984	17.424	8.127	0.019
5355.0	23.735	8.608	21.98	13.167	17.359	7.922	0.019
5360.0	23.744	8.709	21.933	12.751	17.575	8.126	0.037
5365.0	23.822	8.601	21.906	12.905	17.587	7.958	0.024
5370.0	23.938	8.607	21.754	12.874	17.412	8.153	0.028
5375.0	23.726	8.606	22.093	12.864	17.573	8.004	0.019
5380.0	24.174	8.526	21.894	12.808	17.444	7.893	0.021
5385.0	24.056	8.611	21.808	12.85	17.326	7.968	0.018
5390.0	23.772	8.556	21.872	12.884	17.422	8.038	0.021
5395.0	23.984	8.643	22.065	12.915	17.483	7.756	0.021
5400.0	23.976	8.596	22.174	12.737	17.295	7.811	0.026
5405.0	24.021	8.489	22.11	12.799	17.318	7.989	0.016
5410.0	23.882	8.616	22.112	12.743	17.527	7.831	0.015
5415.0	23.983	8.5	22.108	12.862	17.475	7.831	0.02
5420.0	24.111	8.683	22.016	12.833	17.255	7.806	0.017
5425.0	24.221	8.559	21.823	12.58	17.593	7.804	0.011
5430.0	23.959	8.588	21.975	12.769	17.44	7.792	0.017
5435.0	23.798	8.693	21.866	12.742	17.682	7.721	0.024
5440.0	24.085	8.71	21.863	12.956	17.382	7.627	0.018
5445.0	24.242	8.449	22.12	12.812	17.332	7.65	0.019
5450.0	24.068	8.744	22.028	12.735	17.38	7.72	0.018
5455.0	24.223	8.869	21.717	12.785	17.552	7.605	0.012
5460.0	23.992	8.767	22.041	12.655	17.323	7.777	0.023
5465.0	23.917	8.799	22.187	12.608	17.369	7.746	0.012
5470.0	24.111	8.858	22.176	12.543	17.392	7.577	0.018
5475.0	24.335	8.634	22.319	12.653	17.334	7.458	0.013
5480.0	24.41	8.643	22.01	12.807	17.211	7.576	0.017
5485.0	24.431	8.641	22.147	12.777	17.24	7.448	0.012
5490.0	24.025	8.752	22.111	12.668	17.461	7.595	0.012
5495.0	24.369	8.703	22.011	12.657	17.405	7.491	0.014
5500.0	24.358	8.85	22.06	12.424	17.337	7.556	0.016
5505.0	24.279	8.839	21.943	12.77	17.464	7.374	0.017
5510.0	24.239	8.789	22.416	12.554	17.203	7.431	0.013
5515.0	24.2	8.824	22.391	12.542	17.336	7.346	0.014
5520.0	24.312	8.925	22.209	12.51	17.324	7.342	0.01
5525.0	24.544	8.775	22.119	12.375	17.367	7.406	0.009
5530.0	24.423	8.791	22.166	12.526	17.381	7.283	0.012
5535.0	24.495	8.85	22.083	12.558	17.287	7.429	0.011
5540.0	24.352	8.928	22.06	12.603	17.414	7.178	0.012
5545.0	24.607	8.941	22.194	12.537	17.136	7.3	0.009
5550.0	24.636	8.809	22.161	12.474	17.375	7.216	0.009
5555.0	24.666	8.87	21.911	12.485	17.29	7.245	0.01
5560.0	24.598	8.784	22.127	12.504	17.373	7.246	0.011
5565.0	24.395	8.921	22.462	12.437	17.301	7.177	0.014
5570.0	24.723	8.827	22.237	12.388	17.386	7.01	0.017
5575.0	24.507	8.964	22.181	12.551	17.254	7.111	0.018
5580.0	24.343	8.829	22.083	12.49	17.429	7.282	0.012
5585.0	24.444	9.047	22.329	12.272	17.543	7.027	0.011
5590.0	24.687	9.054	22.2	12.299	17.415	7.009	0.01
5595.0	24.609	8.937	22.196	12.408	17.274	6.991	0.012
5600.0	24.682	8.84	22.203	12.359	17.406	6.989	0.014
5605.0	24.639	8.847	22.046	12.344	17.604	7.014	0.015
5610.0	24.579	9.08	22.169	12.34	17.406	7.122	0.011
5615.0	24.652	8.988	22.196	12.265	17.461	6.916	0.012
5620.0	24.934	8.922	22.21	12.375	17.188	6.82	0.012
5625.0	24.83	8.767	22.116	12.332	17.403	6.943	0.009
5630.0	24.523	9.318	22.142	12.385	17.264	6.873	0.014
5635.0	24.681	9.016	22.102	12.197	17.632	6.911	0.009
5640.0	24.744	9.142	22.213	12.275	17.452	6.798	0.006
5645.0	24.654	9.019	22.225	12.258	17.321	6.987	0.008
5650.0	24.77	9.087	22.253	12.338	17.134	6.891	0.011
5655.0	24.683	9.141	22.159	12.319	17.522	6.763	0.008
5660.0	25.035	9.031	22.234	12.282	17.127	6.755	0.005
5665.0	25.103	9.055	22.245	12.242	17.211	6.651	0.006
5670.0	24.941	8.917	22.298	12.238	17.219	6.816	0.012
5675.0	24.613	9.068	22.44	12.321	17.434	6.611	0.011
5680.0	24.985	9.099	22.407	12.218	17.118	6.717	0.013
5685.0	24.953	9.108	22.198	11.876	17.512	6.75	0.01
5690.0	24.839	9.009	22.242	12.397	17.314	6.663	0.008
5695.0	25.214	9.249	22.181	12.0	17.229	6.656	0.01
5700.0	25.048	9.273	22.264	12.129	17.183	6.671	0.008
5705.0	25.033	9.001	22.197	11.993	17.591	6.707	0.009
5710.0	25.236	9.142	22.337	12.06	17.202	6.517	0.004
5715.0	24.932	9.128	22.36	12.075	17.336	6.653	0.005
5720.0	25.108	9.19	22.007	12.29	17.374	6.329	0.008
5725.0	25.103	9.156	22.234	12.059	17.28	6.481	0.006
5730.0	25.115	9.297	22.307	11.892	17.18	6.549	0.01
5735.0	25.058	9.114	22.335	12.072	17.173	6.631	0.004
5740.0	25.155	9.304	22.261	12.105	17.308	6.297	0.003
5745.0	25.221	8.985	22.367	11.969	17.296	6.588	0.006
5750.0	25.345	9.334	22.342	11.923	17.049	6.451	0.008
5755.0	25.267	9.358	22.242	11.983	17.147	6.426	0.006
5760.0	25.214	9.43	22.379	11.846	17.131	6.442	0.007
5765.0	24.932	9.147	22.252	12.194	17.237	6.434	0.007
5770.0	25.174	9.301	22.408	11.867	17.432	6.206	0.006
5775.0	25.21	9.311	22.379	11.973	17.226	6.245	0.002
5780.0	25.096	9.047	22.663	11.922	17.369	6.37	0.005
5785.0	25.002	9.22	22.487	12.081	17.315	6.202	0.006
5790.0	25.367	9.294	22.083	12.01	17.361	6.191	0.004
5795.0	25.325	9.423	22.347	11.817	17.206	6.262	0.009
5800.0	25.66	9.328	21.917	11.879	17.238	6.325	0.008
5805.0	25.351	9.306	22.325	11.837	17.388	6.12	0.001
5810.0	25.237	9.286	22.41	12.08	17.136	6.204	0.004
5815.0	25.279	9.343	22.269	11.883	17.388	6.111	0.001
5820.0	25.228	9.39	22.293	11.916	17.249	6.247	0.005
5825.0	25.203	9.212	22.31	11.834	17.495	6.101	0.001
5830.0	25.226	9.217	22.477	11.963	17.308	6.013	0.008
5835.0	25.269	9.294	22.617	11.811	17.273	6.167	0.002
5840.0	25.333	9.434	22.675	11.705	17.082	6.058	0.001
5845.0	25.612	9.335	22.17	11.887	17.274	6.024	0.003
5850.0	25.07	9.578	22.403	11.751	17.302	6.106	0.005
5855.0	25.177	9.505	22.458	11.891	17.277	5.997	0.005
5860.0	25.424	9.29	22.465	11.805	17.295	6.012	0.001
5865.0	25.476	9.323	22.527	11.767	17.199	5.918	0.009
5870.0	25.539	9.378	22.16	11.73	17.332	6.028	0.003
5875.0	25.556	9.172	22.585	11.888	17.093	6.012	0.004
